"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Tumor_AVG","Normal_AVG","deltaBeta","CHR","MAPINFO","Strand","Type","gene","feature","cgi","feat.cgi","UCSC_Islands_Name","SNP_ID","SNP_DISTANCE"
"cg24727114",-0.332524807359288,0.45687117003241,-7.28261340402833,1.50782495708099e-08,5.17247384661896e-06,9.59857804520837,0.382976768397013,0.715501575756301,-0.332524807359288,"4",124707571,"R","II","LOC285419","Body","opensea","Body-opensea","","rs538722802","15"
"cg06482498",-0.282192210651941,0.375136214600037,-7.28178810197955,1.51152999188506e-08,5.18240966465157e-06,9.59620336061394,0.312426834455161,0.594619045107103,-0.282192210651942,"6",31802029,"F","I","C6orf48","TSS1500","shore","TSS1500-shore","chr6:31802598-31802823","rs527709037;rs549652029","7;26"
"cg01660934",-0.250194501010728,0.664821465081174,-7.28170127331069,1.51192032702862e-08,5.18240966465157e-06,9.59595352007742,0.60922268707879,0.859417188089518,-0.250194501010728,"16",68269041,"F","I","ESRP2","Body","island","Body-island","chr16:68269010-68272143","",""
"cg23299862",-0.328544389781505,0.58887050894205,-7.28104628916827,1.51486806907777e-08,5.18634431763717e-06,9.59406884696823,0.51586064454616,0.844405034327665,-0.328544389781505,"1",53326448,"F","II","ZYG11A","Body","opensea","Body-opensea","","rs527380739;rs372845118","0;1"
"cg25939238",-0.31957499431632,0.46352525900862,-7.28087973319091,1.51561857650482e-08,5.18685957385913e-06,9.59358958656551,0.392508593604993,0.712083587921313,-0.31957499431632,"18",6967140,"R","II","LAMA1","Body","opensea","Body-opensea","","",""
"cg01473602",-0.204894036203687,0.624955697516083,-7.2777315135435,1.52987546477824e-08,5.21922280968587e-06,9.58453015697914,0.579423689470819,0.784317725674507,-0.204894036203688,"12",77257301,"R","II","CSRP2","Body","opensea","Body-opensea","","rs141641561;rs114949383;rs150473952","36;15;1"
"cg21388210",-0.236997813480817,0.511781095942077,-7.2777249704447,1.52990523626655e-08,5.21922280968587e-06,9.58451132731315,0.459114915168562,0.696112728649379,-0.236997813480817,"9",27377795,"R","II","MOB3B","Body","opensea","Body-opensea","","rs189503646;rs76431326","37;7"
"cg11867269",-0.360748504234437,0.611335045920584,-7.27490697482324,1.54278186646609e-08,5.24105558691959e-06,9.57640133761683,0.531168711646265,0.891917215880702,-0.360748504234437,"1",169018547,"R","II","LINC00970","Body","opensea","Body-opensea","","rs187158342;rs115410519","2;1"
"cg14194631",0.349259861123099,0.595383630220436,7.27460787297035,1.54415500476328e-08,5.24105558691959e-06,9.57554049830618,0.672996932692235,0.323737071569136,0.349259861123099,"14",62187266,"R","II","HIF1A","Body","opensea","Body-opensea","","rs537540765","33"
"cg05697656",0.354689387452904,0.543610192729525,7.27406401687628,1.54665494387964e-08,5.24105558691959e-06,9.57397521410003,0.622430056607948,0.267740669155045,0.354689387452904,"8",1897697,"R","II","ARHGEF10","Body","shelf","Body-shelf","chr8:1893696-1894083","rs2280823;rs556098436;rs575868114","42;2;1"
"cg07821355",-0.230690706883964,0.552423965429399,-7.27381320120507,1.54780924408407e-08,5.24105558691959e-06,9.57325332625174,0.50115936389963,0.731850070783593,-0.230690706883964,"6",116706621,"F","II","DSE","5'UTR","opensea","5'UTR-opensea","","rs542285621;rs57679449","15;50"
"cg20059012",-0.209835235005768,0.195478616505414,-7.273680863862,1.54841863588603e-08,5.24105558691959e-06,9.57287243561312,0.14884856428191,0.358683799287678,-0.209835235005768,"12",53613154,"F","I","RARG","Body","shore","Body-shore","chr12:53613716-53615103","rs12368757","6"
"cg06626892",-0.246242859494558,0.418329360604376,-7.27366735896783,1.54848083734568e-08,5.24105558691959e-06,9.57283356600625,0.363608725161141,0.609851584655699,-0.246242859494558,"13",78995230,"R","II","RNF219-AS1","Body","opensea","Body-opensea","","rs541215933;rs561414325","2;1"
"cg05103524",-0.218725282544767,0.666819409855954,-7.27354666117581,1.54903686490614e-08,5.24105558691959e-06,9.57248617443454,0.618213791512672,0.836939074057439,-0.218725282544767,"16",550961,"F","II","RAB11FIP3","Body","opensea","Body-opensea","","rs567455216;rs531435675;rs111650684;rs181741354","1;13;14;46"
"cg12738940",-0.319114092412448,0.640371821622844,-7.27193167377298,1.55649618995392e-08,5.26011741729751e-06,9.56783779166895,0.569457578864523,0.88857167127697,-0.319114092412448,"14",77521802,"R","II","LOC283575","Body","opensea","Body-opensea","","rs7142658;rs150536760;rs80074257","50;17;1"
"cg09556646",-0.220028153977951,0.617323175177531,-7.27128654293811,1.55948606589318e-08,5.26610422436882e-06,9.56598085456948,0.568428029849098,0.788456183827049,-0.220028153977951,"5",137639335,"R","II","CDC25C","Body","opensea","Body-opensea","","rs530192462;rs148991780","49;25"
"cg09358583",-0.27836536359303,0.54279308061511,-7.2674343139833,1.57746052014121e-08,5.3070124060834e-06,9.55489179835926,0.48093411092777,0.7592994745208,-0.27836536359303,"11",12211296,"F","II","MICAL2","Body","opensea","Body-opensea","","rs115669408;rs546498483;rs566282627;rs535312291;rs555432271","23;27;29;33;39"
"cg03633120",-0.241400994028928,0.370735088040404,-7.26711339220357,1.57896735191974e-08,5.3070124060834e-06,9.55396792514217,0.317090422700643,0.55849141672957,-0.241400994028927,"19",8387262,"F","II","NDUFA7","TSS1500","shore","TSS1500-shore","chr19:8386082-8386972","rs541383410","36"
"cg18865084",-0.242255863105186,0.409969561040903,-7.26533335922256,1.58735163191773e-08,5.32690805837497e-06,9.54884336408359,0.356134924795306,0.598390787900492,-0.242255863105186,"12",80837837,"F","II","PTPRQ","TSS1500","opensea","TSS1500-opensea","","rs58265080;rs71441983","42;44"
"cg03612017",-0.288871560413159,0.624018676615456,-7.26175020720241,1.60436562160431e-08,5.37338785465268e-06,9.53852684391521,0.559824996523643,0.848696556936803,-0.288871560413159,"16",2713657,"F","II","ERVK13-1","Body","opensea","Body-opensea","","rs185517600;rs547350047","22;49"
"cg07089621",0.31370328114386,0.487772037334379,7.26105443593857,1.60769067986296e-08,5.38054173928925e-06,9.53652345221503,0.55748387758857,0.243780596444711,0.31370328114386,"7",106973572,"F","II","COG5","Body","opensea","Body-opensea","","rs559881287","40"
"cg04367638",-0.270141481494201,0.551831337615856,-7.25887162573463,1.61816749023936e-08,5.4030543747287e-06,9.53023800113355,0.491799897283812,0.761941378778012,-0.270141481494201,"8",80713017,"R","II","LINC01607","Body","opensea","Body-opensea","","",""
"cg13874366",-0.273814608289027,0.586114709969046,-7.25717181263045,1.62637382684981e-08,5.42207819746067e-06,9.5253430306358,0.525267019238151,0.799081627527178,-0.273814608289027,"11",68856951,"F","II","TPCN2","3'UTR","opensea","3'UTR-opensea","","",""
"cg06378669",-0.255155170863374,0.615953619233581,-7.25586171037289,1.63272741006688e-08,5.43278419272855e-06,9.52157012343744,0.559252470152831,0.814407641016206,-0.255155170863374,"18",46375343,"R","II","CTIF","Body","opensea","Body-opensea","","rs183256758;rs528891391;rs77080833;rs568889621","44;43;15;2"
"cg14886666",-0.274031761621646,0.653475757902243,-7.25545403020012,1.63470964288448e-08,5.43519579286836e-06,9.52039602886573,0.592579810875211,0.866611572496857,-0.274031761621646,"11",76915227,"F","II","MYO7A","Body","opensea","Body-opensea","","rs548620787","33"
"cg01104306",-0.279933000979809,0.612685131594869,-7.2546181504865,1.63878148630548e-08,5.44245438471208e-06,9.51798869477861,0.5504777980438,0.830410799023609,-0.279933000979809,"11",4066205,"F","II","STIM1","Body","opensea","Body-opensea","","rs576799739;rs183157016","0;27"
"cg17166434",-0.278754825961906,0.584638519283524,-7.25447148358525,1.63949700496535e-08,5.44273970005521e-06,9.51756628702901,0.522693002403101,0.801447828365007,-0.278754825961906,"1",150849992,"F","II","ARNT","TSS1500","shore","TSS1500-shore","chr1:150848994-150849265","rs587644124;rs7517566;rs587596495","3;43;46"
"cg05715050",-0.292358798247402,0.336984214369665,-7.25375836652613,1.64298046845681e-08,5.452210186737e-06,9.51551244579568,0.272015592536909,0.564374390784311,-0.292358798247402,"1",12806213,"R","II","C1orf158","5'UTR","opensea","5'UTR-opensea","","rs74057662;rs7535797;rs3000920;rs146042543","42;37;19;2"
"cg10170152",-0.318334921538295,0.607790884059959,-7.25271551655846,1.64808809547363e-08,5.45720532515466e-06,9.51250885544106,0.537049790384782,0.855384711923078,-0.318334921538295,"1",167667362,"F","II","RCSD1","Body","opensea","Body-opensea","","rs533485410;rs115777674;rs149065204;rs61808919;rs16859436;rs72697740","0;1;17;26;31;42"
"cg22481632",0.251248109494468,0.445386222453624,7.25063904650358,1.65830597603237e-08,5.47855627529294e-06,9.50652794481702,0.501219135674617,0.249971026180148,0.251248109494468,"20",23066944,"F","I","CD93","5'UTR","opensea","5'UTR-opensea","","rs557451011;rs576173466","0;40"
"cg02786370",-0.380209760563591,0.251578401888962,-7.25059474750213,1.6585246582794e-08,5.47855627529294e-06,9.50640034470638,0.167087343985941,0.547297104549532,-0.380209760563591,"4",2747928,"R","II","TNIP2","Body","opensea","Body-opensea","","rs142029238","2"
"cg18983289",-0.230015885275697,0.381732039341204,-7.24932628608246,1.66479880328114e-08,5.49088882974908e-06,9.50274655161535,0.330617398168827,0.560633283444524,-0.230015885275697,"1",38554180,"F","II","MIR3659","TSS1500","opensea","TSS1500-opensea","","rs186204457;rs147816889;rs559494","0;1;48"
"cg25541621",-0.232852748215015,0.39207697189519,-7.24787588793746,1.67200225223645e-08,5.51254423715421e-06,9.498568500563,0.340331916736297,0.573184664951312,-0.232852748215015,"1",171106864,"R","II","FMO6P","TSS200","opensea","TSS200-opensea","","rs114465729","49"
"cg05785988",-0.273537016536176,0.573601113561403,-7.24623075406537,1.68021099369427e-08,5.52499125272286e-06,9.49382924312108,0.512815109886697,0.786352126422873,-0.273537016536176,"1",204655147,"F","II","LRRN2","TSS1500","shore","TSS1500-shore","chr1:204654132-204654885","rs150572615","17"
"cg23769140",-0.203463235079308,0.312211682491823,-7.24600622682174,1.68133447340252e-08,5.52499125272286e-06,9.4931824107981,0.266997630251976,0.470460865331285,-0.203463235079308,"1",54048110,"F","II","GLIS1","Body","opensea","Body-opensea","","rs190927536;rs528678635;rs116674900;rs183503788","1;18;19;26"
"cg18073938",-0.325091632547606,0.545642555951872,-7.24594243867315,1.68165379222021e-08,5.52499125272286e-06,9.49299864496624,0.473399970941293,0.798491603488898,-0.325091632547605,"4",100789493,"R","II","DAPP1","3'UTR","opensea","3'UTR-opensea","","",""
"cg25850629",-0.338227013577184,0.607259655145622,-7.2454572365158,1.68408468550271e-08,5.52499125272286e-06,9.49160082420581,0.532098096572915,0.870325110150099,-0.338227013577184,"1",33210830,"F","II","KIAA1522","Body","shelf","Body-shelf","chr1:33207636-33207874","rs535286774","15"
"cg03998636",-0.249968423883748,0.638171234576938,-7.24545694964466,1.68408612379489e-08,5.52499125272286e-06,9.49159999775094,0.582622695936105,0.832591119819853,-0.249968423883748,"13",111210121,"R","II","RAB20","Body","shelf","Body-shelf","chr13:111213589-111214477","rs9588191;rs187811706;rs544817817;rs563104893;rs575172203","51;39;18;2;1"
"cg27090861",-0.309687541340739,0.579852521293074,-7.24463765458159,1.68819890969154e-08,5.53218559008875e-06,9.48923963584429,0.511033067661799,0.820720609002537,-0.309687541340739,"1",200864139,"F","II","C1orf106","1stExon","shelf","1stExon-shelf","chr1:200860076-200860576","rs377257615;rs530759739","37;38"
"cg26400267",-0.244961216815911,0.652690149779,-7.24333017765658,1.69478335640349e-08,5.54745395295987e-06,9.48547270401488,0.598254323819909,0.84321554063582,-0.244961216815911,"12",122398758,"F","II","WDR66","Body","opensea","Body-opensea","","rs570778505;rs531986490","0;9"
"cg03044178",-0.299467125921342,0.605043766247157,-7.24201851549312,1.70141495544314e-08,5.55622713875911e-06,9.48169354854703,0.538495516042414,0.837962641963756,-0.299467125921342,"20",61151721,"F","II","C20orf166","Body","island","Body-island","chr20:61151586-61151903","rs567126822;rs537707968","26;34"
"cg09073467",-0.258525552802077,0.642385784214753,-7.24192763488048,1.70187540652737e-08,5.55622713875911e-06,9.48143169756631,0.584935661369847,0.843461214171925,-0.258525552802078,"1",6155515,"R","II","KCNAB2","ExonBnd","opensea","ExonBnd-opensea","","rs116542179;rs572544225","33;1"
"cg02956542",-0.308746262339525,0.51733997773002,-7.24142878723926,1.7044050859356e-08,5.56000093214491e-06,9.47999437195007,0.448729697210126,0.757475959549651,-0.308746262339525,"1",153321421,"F","II","PGLYRP4","TSS1500","opensea","TSS1500-opensea","","rs576638899;rs140626599;rs73016428","0;19;47"
"cg02632261",-0.241314213673645,0.648760855323433,-7.24110500390869,1.70604903915081e-08,5.56130816310557e-06,9.47906144486103,0.595135474507067,0.836449688180713,-0.241314213673645,"1",963599,"F","II","AGRN","Body","shore","Body-shore","chr1:963795-964507","rs544603129","6"
"cg15717081",-0.309864788913437,0.395219636583091,-7.24109645619324,1.70609246038086e-08,5.56130816310557e-06,9.47903681592293,0.326360794602327,0.636225583515764,-0.309864788913437,"8",18768961,"R","II","PSD3","Body","opensea","Body-opensea","","rs192364170;rs185258680","39;17"
"cg15889621",-0.330305727779281,0.58297320260384,-7.24054110610536,1.70891595759777e-08,5.56841214549835e-06,9.47743664427742,0.509571929764,0.839877657543281,-0.330305727779281,"2",85521810,"R","II","TCF7L1","Body","opensea","Body-opensea","","",""
"cg26738137",-0.323004123173952,0.608797157723204,-7.23943928418892,1.71453179784588e-08,5.57830050868136e-06,9.474261794635,0.537018463684548,0.860022586858499,-0.323004123173951,"1",246001227,"F","II","SMYD3","Body","opensea","Body-opensea","","rs181291309;rs150423402;rs558318707","31;44;46"
"cg14279591",-0.236119137774943,0.63333909483748,-7.23885463646061,1.71751923856124e-08,5.58381717217783e-06,9.47257711137463,0.580868175331937,0.81698731310688,-0.236119137774943,"19",55144531,"F","II","LILRB1","Body","opensea","Body-opensea","","rs201120319;rs61739173","0;25"
"cg03916694",-0.300401297219105,0.563525749500389,-7.23723978992418,1.72579815902342e-08,5.60020206958836e-06,9.46792370260973,0.496769905673921,0.797171202893027,-0.300401297219105,"17",18150707,"R","II","FLII","Body","island","Body-island","chr17:18150279-18151172","rs150708367;rs139412135;rs564612939;rs533619879;rs540427625","51;41;30;29;19"
"cg03903987",-0.208154728357138,0.576846526609403,-7.23696713171411,1.72719998420875e-08,5.60264788573733e-06,9.46713797464311,0.530589920307816,0.738744648664955,-0.208154728357138,"17",48720891,"R","II","ABCC3","Body","opensea","Body-opensea","","rs181639984;rs112100074;rs149454356","35;17;1"
"cg04298242",-0.339191751125339,0.554494854937601,-7.23478699310657,1.73845025028765e-08,5.62485612969256e-06,9.46085514173159,0.479118910243081,0.81831066136842,-0.339191751125339,"5",133706139,"R","II","UBE2B","TSS1500","shore","TSS1500-shore","chr5:133707020-133707892","rs554330599","9"
"cg10393875",-0.296450695050294,0.627396513927284,-7.234757853249,1.73860112237364e-08,5.62485612969256e-06,9.46077116193272,0.561518581693885,0.857969276744179,-0.296450695050294,"7",73244836,"R","II","CLDN4","TSS1500","shore","TSS1500-shore","chr7:73245434-73246045","",""
"cg00630480",-0.210456781589027,0.651429085974053,-7.2344307179465,1.74029577894227e-08,5.62643042684506e-06,9.45982836665584,0.604660912287603,0.81511769387663,-0.210456781589027,"5",101570551,"R","II","SLCO4C1","3'UTR","opensea","3'UTR-opensea","","rs149085489;rs548355441","49;17"
"cg04866173",-0.311807430569436,0.531846295516501,-7.23441264740471,1.74038943826405e-08,5.62643042684506e-06,9.45977628753336,0.46255575538996,0.774363185959396,-0.311807430569436,"2",105990524,"F","II","FHL2","Body","opensea","Body-opensea","","rs183827455;rs145467709;rs6714288","17;42;46"
"cg23098068",0.319189819773985,0.589456942620226,7.23219867605895,1.75190303829567e-08,5.65941932699291e-06,9.45339540672224,0.660388013681112,0.341198193907127,0.319189819773985,"2",172650722,"R","II","SLC25A12","Body","opensea","Body-opensea","","",""
"cg19920905",-0.265464515905708,0.436147809346131,-7.23165922059186,1.7547200796876e-08,5.6664021232993e-06,9.45184057228032,0.377155694700419,0.642620210606127,-0.265464515905708,"10",1643218,"R","II","ADARB2","Body","opensea","Body-opensea","","rs547895791;rs78914597;rs186900101","35;2;1"
"cg09977333",-0.294056384406,0.605529275129134,-7.23100785909622,1.75812759568099e-08,5.66766668013144e-06,9.44996316176957,0.5401834119278,0.8342397963338,-0.294056384406,"2",149876935,"R","II","KIF5C","3'UTR","opensea","3'UTR-opensea","","",""
"cg02677189",-0.307125576514384,0.648627391629722,-7.23099717359108,1.75818355126651e-08,5.66766668013144e-06,9.44993236274192,0.580377263515414,0.887502840029798,-0.307125576514384,"8",17592019,"F","II","MTUS1","Body","opensea","Body-opensea","","rs183393227","12"
"cg19345921",0.262553984759211,0.591282397704999,7.23058244841707,1.76035668680468e-08,5.66766668013144e-06,9.44873698429625,0.64962772765149,0.387073742892279,0.262553984759211,"17",78263422,"F","II","RNF213","Body","opensea","Body-opensea","","rs62076476","7"
"cg12409239",-0.363886264946898,0.603422196858698,-7.23010844770987,1.76284374639285e-08,5.67356099057798e-06,9.44737073348076,0.522558582426054,0.886444847372952,-0.363886264946898,"4",140810584,"R","II","MAML3","Body","opensea","Body-opensea","","rs559428789;rs144325298","43;40"
"cg26734132",-0.286003337163392,0.591655223368094,-7.22988681677872,1.76400785134987e-08,5.67519468263871e-06,9.44673190121753,0.528098926220673,0.814102263384065,-0.286003337163392,"3",167613730,"R","II","LINC01330","TSS200","opensea","TSS200-opensea","","rs75747333;rs547727901","44;7"
"cg14557853",-0.255637510180124,0.670335253630438,-7.22894946960596,1.76893981401115e-08,5.68682902662314e-06,9.44403002582921,0.613526918034855,0.869164428214979,-0.255637510180124,"16",436508,"R","II","LOC100134368","Body","shelf","Body-shelf","chr16:431189-432810","rs80066378;rs542565615","25;21"
"cg13390441",-0.265694994273854,0.379739485706784,-7.22677833249719,1.78041708583069e-08,5.71947245083506e-06,9.4377714642118,0.320696153645927,0.586391147919781,-0.265694994273854,"9",132962957,"R","II","FREQ","Body","opensea","Body-opensea","","rs533171338","1"
"cg23828876",-0.443380877047859,0.482818653240463,-7.22657372307503,1.78150258361789e-08,5.71994894111285e-06,9.43718162987297,0.38428956945205,0.827670446499909,-0.443380877047859,"3",196001706,"R","II","PCYT1A","5'UTR","opensea","5'UTR-opensea","","rs192211624","21"
"cg03760691",-0.279404727833701,0.625422883692959,-7.22650096143569,1.78188876120251e-08,5.71994894111285e-06,9.43697187652593,0.563332944174359,0.84273767200806,-0.279404727833701,"1",59826054,"F","II","FGGY","Body","opensea","Body-opensea","","rs562450120;rs7536855","30;42"
"cg15175179",-0.280189820526537,0.605604991435033,-7.22609159611118,1.78406301765359e-08,5.72405581740774e-06,9.43579177070095,0.54334058687358,0.823530407400117,-0.280189820526537,"17",19651812,"F","II","ALDH3A1","TSS200","shelf","TSS200-shelf","chr17:19648139-19648492","rs188621742;rs180982008","1;32"
"cg23155805",-0.203764471260561,0.54639087398901,-7.22601080455899,1.78449244133533e-08,5.72405581740774e-06,9.43555886539218,0.501109880375552,0.704874351636113,-0.203764471260561,"9",140111991,"F","II","NDOR1","3'UTR","island","3'UTR-island","chr9:140111749-140111992","rs529320318","0"
"cg00558804",0.201209935010071,0.446360605973912,7.22541778629203,1.7876476533862e-08,5.72992442095718e-06,9.4338492974503,0.491073924865039,0.289863989854968,0.201209935010071,"16",88769761,"R","I","RNF166","Body","shelf","Body-shelf","chr16:88772237-88773195","rs552070169;rs563926070;rs531432851;rs75410747","21;20;18;5"
"cg04866437",-0.269793548635563,0.648832055402793,-7.22519715522284,1.78882298085233e-08,5.73156651951628e-06,9.433213248077,0.588877933483779,0.858671482119342,-0.269793548635563,"7",131631108,"R","II","LOC101928782","Body","shore","Body-shore","chr7:131630174-131630496","rs538804466;rs76762860;rs78461336","41;19;3"
"cg05813079",-0.282964529554527,0.412786698254343,-7.22459697066829,1.79202418636892e-08,5.7375702973837e-06,9.4314829740441,0.349905691686671,0.632870221241198,-0.282964529554527,"14",30316204,"R","II","PRKD1","Body","opensea","Body-opensea","","",""
"cg12218389",-0.282112089578537,0.530108980594162,-7.22262019177384,1.8026087201136e-08,5.76505345853394e-06,9.42578386803285,0.467417405132265,0.749529494710802,-0.282112089578537,"1",16370217,"F","II","CLCNKB","TSS200","opensea","TSS200-opensea","","rs190035755","1"
"cg04382468",0.418092085135582,0.64955026873052,7.22150325992159,1.80861716390141e-08,5.77894732885606e-06,9.42256355870257,0.742459620982872,0.32436753584729,0.418092085135582,"16",11110746,"F","II","CLEC16A","Body","opensea","Body-opensea","","rs189814565","10"
"cg07467604",0.272623303096381,0.793021964913917,7.22143991415401,1.80895853300008e-08,5.77894732885606e-06,9.42238091823482,0.853604921157557,0.580981618061176,0.272623303096381,"2",44599582,"R","II","CAMKMT","Body","opensea","Body-opensea","","rs539485464","41"
"cg08514932",-0.327049831757932,0.472549386461868,-7.2211126417148,1.81072323501209e-08,5.77924038358046e-06,9.42143731015412,0.399871646071216,0.726921477829149,-0.327049831757932,"21",36217108,"F","II","RUNX1","Body","opensea","Body-opensea","","",""
"cg09357825",0.286405879365605,0.391090234802227,7.22037387944833,1.81471314911868e-08,5.78450522553847e-06,9.4193072366449,0.454735985772362,0.168330106406757,0.286405879365605,"10",45491912,"F","II","C10orf25","Body","opensea","Body-opensea","","rs190493330","0"
"cg12164351",-0.354545294373763,0.424527718781106,-7.21992901667952,1.81712005185697e-08,5.79004239863098e-06,9.41802453852297,0.345739875586937,0.7002851699607,-0.354545294373763,"14",89844701,"R","II","FOXN3","Body","opensea","Body-opensea","","rs530091090","4"
"cg20114154",0.497363933216684,0.557095928779791,7.21948699562844,1.8195147742068e-08,5.79434579337201e-06,9.41675001537476,0.667621247272387,0.170257314055703,0.497363933216684,"10",114438633,"F","II","VTI1A","Body","opensea","Body-opensea","","rs116503234;rs17130007;rs187356240","1;7;38"
"cg23672133",-0.231534293068983,0.632599505130704,-7.21930873174833,1.82048145037496e-08,5.79434579337201e-06,9.4162360041669,0.581147440004263,0.812681733073246,-0.231534293068983,"7",128521014,"R","II","KCP","Body","opensea","Body-opensea","","rs578049821","37"
"cg05725263",-0.274795496476113,0.67048809250736,-7.21898455103703,1.82224072355179e-08,5.79579832027398e-06,9.41530124439129,0.609422426623779,0.884217923099892,-0.274795496476113,"11",66650560,"F","I","PC","5'UTR","opensea","5'UTR-opensea","","rs58204291;rs114906855","7;40"
"cg09510577",0.27931584685407,0.788308498858097,7.21890889051048,1.82265156743543e-08,5.79579832027398e-06,9.41508307939161,0.85037868704789,0.57106284019382,0.27931584685407,"3",141863832,"F","II","TFDP2","5'UTR","opensea","5'UTR-opensea","","",""
"cg26894079",-0.32921165992733,0.508299869400688,-7.21837950037505,1.8255288258913e-08,5.80186618383438e-06,9.41355658254844,0.435141722750171,0.7643533826775,-0.32921165992733,"11",122954435,"F","II","ASAM","Body","opensea","Body-opensea","","rs199610674;rs141141774","0;4"
"cg16201233",0.305951207228735,0.60231378508173,7.21683886192339,1.83392840067646e-08,5.82058506774647e-06,9.40911399834181,0.670302942243671,0.364351735014936,0.305951207228735,"1",39313848,"R","II","RRAGC","Body","opensea","Body-opensea","","",""
"cg05523897",-0.211320889608492,0.540253126055987,-7.21601852005444,1.83841683213829e-08,5.82782854862949e-06,9.40674836863772,0.493292928365211,0.704613817973704,-0.211320889608492,"1",2139175,"R","II","C1orf86","TSS200","shore","TSS200-shore","chr1:2136808-2137351","rs538078405;rs137880648","44;42"
"cg15130459",-0.216078274680117,0.346805758713692,-7.21457820114276,1.84632428317374e-08,5.84126149935926e-06,9.40259474854629,0.298788364340333,0.51486663902045,-0.216078274680117,"5",40834228,"R","II","SNORD72","TSS1500","shore","TSS1500-shore","chr5:40835241-40835873","rs11749955;rs142739749;rs144036263;rs192529230;rs565847017;rs539401804","48;46;45;29;19;1"
"cg15044010",0.404058924880455,0.757179172519228,7.21443284834595,1.84712418659189e-08,5.84126149935926e-06,9.40217556630569,0.846970044714884,0.442911119834429,0.404058924880455,"7",104897205,"F","II","SRPK2","Body","opensea","Body-opensea","","rs6466051","20"
"cg22274575",-0.258013826090175,0.452635472221734,-7.21375499744454,1.85085915212002e-08,5.85010898645917e-06,9.40022068874089,0.395299066423918,0.653312892514092,-0.258013826090175,"3",148716824,"F","II","GYG1","Body","opensea","Body-opensea","","rs147322777","45"
"cg11587191",-0.245511398129283,0.568366336540777,-7.21338492762262,1.85290145969065e-08,5.85276634490042e-06,9.39915341317214,0.513808248067603,0.759319646196886,-0.245511398129283,"1",3382237,"R","II","ARHGEF16","Body","opensea","Body-opensea","","rs560344531;rs557906998","34;1"
"cg02430584",-0.252623966037402,0.558562634911782,-7.21323473055259,1.85373100299345e-08,5.85276634490042e-06,9.39872024345592,0.502423975792359,0.755047941829761,-0.252623966037402,"7",102065866,"F","II","PRKRIP1","3'UTR","opensea","3'UTR-opensea","","rs111760484;rs557530207","5;38"
"cg10577241",0.302944535772131,0.56845924465501,7.21274790552817,1.85642233335084e-08,5.85533023521186e-06,9.39731622089889,0.635780252604372,0.332835716832241,0.302944535772131,"15",77456283,"R","II","SGK269","Body","opensea","Body-opensea","","rs545572457;rs560310894","38;33"
"cg18038250",-0.261395001219393,0.600309073793553,-7.21272030039456,1.85657506191287e-08,5.85533023521186e-06,9.39723660592985,0.542221295744799,0.803616296964191,-0.261395001219393,"2",208091665,"F","II","LOC101927865","Body","opensea","Body-opensea","","rs550783272","21"
"cg18316247",-0.275068375057291,0.627845070268775,-7.21211387431179,1.85993338807584e-08,5.86164482776657e-06,9.39548761606934,0.566718764700488,0.84178713975778,-0.275068375057291,"2",233397365,"F","II","CHRND","Body","opensea","Body-opensea","","rs192994075","1"
"cg08594589",-0.206253462010388,0.63567378713179,-7.21017566979601,1.87070817969247e-08,5.88701717242822e-06,9.38989741738849,0.589839684462815,0.796093146473203,-0.206253462010388,"5",176919234,"F","II","PDLIM7","Body","island","Body-island","chr5:176918574-176919659","rs561650294","0"
"cg16073611",-0.292247369190904,0.604528721752207,-7.20866772205991,1.87913470552142e-08,5.90264396483514e-06,9.38554792480451,0.539584861932006,0.83183223112291,-0.292247369190904,"10",22100381,"R","II","DNAJC1","Body","opensea","Body-opensea","","rs575840617;rs144281329","2;1"
"cg24723883",-0.366978439325845,0.456278513233797,-7.20860475361841,1.87948741083091e-08,5.90264396483514e-06,9.38536629526343,0.374727748939164,0.741706188265009,-0.366978439325845,"19",2608495,"F","II","GNG7","5'UTR","shore","5'UTR-shore","chr19:2607725-2607967","rs529604907;rs547743208","42;48"
"cg14522718",0.337405188823098,0.527759346984076,7.20832585730182,1.88105039787752e-08,5.90451747731151e-06,9.38456182728063,0.602738277833654,0.265333089010555,0.337405188823098,"9",130868874,"F","I","SLC25A25","Body","opensea","Body-opensea","","rs556626530;rs575629872;rs149298725","2;18;24"
"cg14896076",-0.214499868956253,0.633001505786225,-7.20814698339718,1.88205353176929e-08,5.90548250997509e-06,9.38404586702886,0.585334868240391,0.799834737196644,-0.214499868956253,"12",52225262,"R","II","FIGNL2","5'UTR","opensea","5'UTR-opensea","","rs533825494;rs553651857;rs573466840;rs538990141","49;24;2;1"
"cg22274821",-0.327308602468549,0.487647924867397,-7.20790574843227,1.88340724562925e-08,5.90548250997509e-06,9.38335002201871,0.414912679874386,0.742221282342935,-0.327308602468549,"7",83702993,"F","II","SEMA3A","Body","opensea","Body-opensea","","rs182165167;rs17158583;rs17158585","0;26;39"
"cg21962865",-0.279288791344864,0.594079410590977,-7.2065282689039,1.89115597569262e-08,5.91690206906657e-06,9.37937656074818,0.532015234736562,0.811304026081426,-0.279288791344864,"20",45004549,"F","II","ELMO2","Body","opensea","Body-opensea","","rs537847687;rs555892263;rs574632772","16;23;25"
